Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
GT,Emissions Totals,1,World,7273,Emissions (CO2),6821,Energy,1990,1990,3050,FAO TIER 1,kilotonnes,21027080.28,E,Estimated value,
GT,Emissions Totals,1,World,7273,Emissions (CO2),6821,Energy,1991,1991,3050,FAO TIER 1,kilotonnes,21594020.5,E,Estimated value,
GT,Emissions Totals,1,World,7273,Emissions (CO2),6821,Energy,1992,1992,3050,FAO TIER 1,kilotonnes,21277204.79,E,Estimated value,
GT,Emissions Totals,1,World,7273,Emissions (CO2),6821,Energy,1993,1993,3050,FAO TIER 1,kilotonnes,21449599.3,E,Estimated value,
GT,Emissions Totals,1,World,7273,Emissions (CO2),6821,Energy,1994,1994,3050,FAO TIER 1,kilotonnes,21471729.83,E,Estimated value,
GT,Emissions Totals,1,World,7273,Emissions (CO2),6821,Energy,1995,1995,3050,FAO TIER 1,kilotonnes,21878741.94,E,Estimated value,
GT,Emissions Totals,1,World,7273,Emissions (CO2),6821,Energy,1996,1996,3050,FAO TIER 1,kilotonnes,22461999.5,E,Estimated value,
GT,Emissions Totals,1,World,7273,Emissions (CO2),6821,Energy,1997,1997,3050,FAO TIER 1,kilotonnes,22597066.17,E,Estimated value,
GT,Emissions Totals,1,World,7273,Emissions (CO2),6821,Energy,1998,1998,3050,FAO TIER 1,kilotonnes,22438699.84,E,Estimated value,
GT,Emissions Totals,1,World,7273,Emissions (CO2),6821,Energy,1999,1999,3050,FAO TIER 1,kilotonnes,22743187.84,E,Estimated value,
GT,Emissions Totals,1,World,7273,Emissions (CO2),6821,Energy,2000,2000,3050,FAO TIER 1,kilotonnes,23424334.21,E,Estimated value,
GT,Emissions Totals,1,World,7273,Emissions (CO2),6821,Energy,2001,2001,3050,FAO TIER 1,kilotonnes,23512793.09,E,Estimated value,
GT,Emissions Totals,1,World,7273,Emissions (CO2),6821,Energy,2002,2002,3050,FAO TIER 1,kilotonnes,23987483.05,E,Estimated value,
GT,Emissions Totals,1,World,7273,Emissions (CO2),6821,Energy,2003,2003,3050,FAO TIER 1,kilotonnes,25222996.95,E,Estimated value,
GT,Emissions Totals,1,World,7273,Emissions (CO2),6821,Energy,2004,2004,3050,FAO TIER 1,kilotonnes,26369950.87,E,Estimated value,
GT,Emissions Totals,1,World,7273,Emissions (CO2),6821,Energy,2005,2005,3050,FAO TIER 1,kilotonnes,27193383.96,E,Estimated value,
GT,Emissions Totals,1,World,7273,Emissions (CO2),6821,Energy,2006,2006,3050,FAO TIER 1,kilotonnes,28069688.39,E,Estimated value,
GT,Emissions Totals,1,World,7273,Emissions (CO2),6821,Energy,2007,2007,3050,FAO TIER 1,kilotonnes,28799530.69,E,Estimated value,
GT,Emissions Totals,1,World,7273,Emissions (CO2),6821,Energy,2008,2008,3050,FAO TIER 1,kilotonnes,29606156.16,E,Estimated value,
GT,Emissions Totals,1,World,7273,Emissions (CO2),6821,Energy,2009,2009,3050,FAO TIER 1,kilotonnes,29192133.23,E,Estimated value,
GT,Emissions Totals,1,World,7273,Emissions (CO2),6821,Energy,2010,2010,3050,FAO TIER 1,kilotonnes,30587887.21,E,Estimated value,
GT,Emissions Totals,1,World,7273,Emissions (CO2),6821,Energy,2011,2011,3050,FAO TIER 1,kilotonnes,31557127.62,E,Estimated value,
GT,Emissions Totals,1,World,7273,Emissions (CO2),6821,Energy,2012,2012,3050,FAO TIER 1,kilotonnes,32090033.73,E,Estimated value,
GT,Emissions Totals,1,World,7273,Emissions (CO2),6821,Energy,2013,2013,3050,FAO TIER 1,kilotonnes,32156466.48,E,Estimated value,
GT,Emissions Totals,1,World,7273,Emissions (CO2),6821,Energy,2014,2014,3050,FAO TIER 1,kilotonnes,32449355.86,E,Estimated value,
GT,Emissions Totals,1,World,7273,Emissions (CO2),6821,Energy,2015,2015,3050,FAO TIER 1,kilotonnes,32490001.51,E,Estimated value,
GT,Emissions Totals,1,World,7273,Emissions (CO2),6821,Energy,2016,2016,3050,FAO TIER 1,kilotonnes,32393671.9,E,Estimated value,
GT,Emissions Totals,1,World,7273,Emissions (CO2),6821,Energy,2017,2017,3050,FAO TIER 1,kilotonnes,32763273.07,E,Estimated value,
GT,Emissions Totals,1,World,7273,Emissions (CO2),6821,Energy,2018,2018,3050,FAO TIER 1,kilotonnes,33501528.76,E,Estimated value,
GT,Emissions Totals,1,World,7273,Emissions (CO2),6821,Energy,2019,2019,3050,FAO TIER 1,kilotonnes,33456374.38,E,Estimated value,
GT,Emissions Totals,1,World,7273,Emissions (CO2),6821,Energy,2020,2020,3050,FAO TIER 1,kilotonnes,31535618.6,E,Estimated value,
